duration,total_packets,bytes_transferred_total,bytes_transferred_source_to_dest,source_port,destination_port
77.3728097590219,254,51732,21512,48139,17494
9.292112153099001,928,22303,19482,3608,25105
37.78619862849059,248,93492,13224,10764,7870
41.79634422963142,850,45742,29747,35280,48947
54.94398701057955,353,9586,53024,21067,5173
241.03293367423254,398,60695,5661,56578,51927
131.90361075679394,582,32258,22443,31767,38953
44.21108908188902,203,14781,5313,14343,37212
30.179060381673985,302,54890,22004,58223,30949
89.4523435728388,148,55152,12046,34019,55013
239.42485405946522,221,77337,10855,21879,48821
109.40150839709906,698,15472,74693,6266,52659
48.05321835215203,867,26711,76053,47193,4236
121.29444284569334,848,5623,21074,25031,49439
166.63793603038852,560,45893,41657,64735,4946
8.972296673040352,263,20333,77856,30431,31568
188.3297762519079,296,25055,79473,54528,33089
118.5907158291353,315,69399,12374,15874,48721
3.0167899518451957,292,47624,773,22336,28089
202.19943074401962,684,42721,58373,15118,23718
213.74505190523817,876,85078,73861,49969,7066
188.68905258874895,31,91518,13455,41107,9037
102.64487225776682,682,68101,1415,49538,32309
158.92849573438173,44,70087,57943,14012,43470
116.20859606941725,939,81697,46477,14222,53703
210.21645687489234,555,115,27388,1722,25672
175.11569785148322,943,4510,69439,1461,59092
24.631554236852182,134,19064,4732,23227,4778
192.9637581098773,349,70771,71546,17019,58338
206.20280045990665,219,73584,24777,39972,12211
111.27358396634834,450,70425,24123,10900,38157
262.74815570981536,504,8702,19932,19561,58586
252.92000501800428,86,7332,48282,13926,49799
52.63244051753138,251,57345,59606,56214,1570
271.289465914912,265,48050,52187,56184,37521
132.31762421137373,523,70471,45104,23783,41142
217.15252082502457,80,91702,67153,28514,47181
244.24769238947405,621,28481,24837,61585,48435
151.58321507879998,461,76405,62231,22544,56060
119.79067161730762,630,56125,26805,6302,49479
274.643865447668,252,82292,37009,34751,35760
69.33298052533341,18,53806,75304,11055,31623
77.16532630797143,256,919,37953,63769,5540
108.54993217262977,245,35483,59096,25877,2283
257.8537868133726,153,78784,39569,21628,47937
281.64260043750147,609,71705,11722,53932,24400
66.09830765498306,500,5740,7224,41379,25164
259.17465727461047,458,59988,18153,26943,20341
77.53506754462393,698,86910,8111,22178,3533
291.1953099002914,542,62344,13315,9930,45992
179.2626268052765,115,73337,39090,15322,13288
2.2252315874699797,753,85001,18043,43489,63048
10.335558230946246,769,68675,58269,54097,18970
44.330610788332066,447,54187,72300,52890,32659
56.35319002984514,353,32015,37927,2371,11301
230.3089749356963,625,43742,78335,6032,27389
66.90748633744326,847,56711,16070,56261,25483
290.74557185295293,541,46989,34871,25577,64937
190.87000595516116,322,41315,73349,28042,4693
207.78600102512993,459,2587,46050,5892,31588
65.42317413363372,949,99762,32901,31929,19889
267.8226235971159,226,61145,16075,4984,45414
200.3775903886974,756,92694,15481,64977,57374
259.335246740125,361,93744,43229,63544,17612
286.94868105964497,531,74135,41708,10968,16064
37.77972903516797,834,71767,31042,3529,18149
29.066510357656806,112,59140,45635,55272,63668
241.04200719423173,212,90620,65241,24783,31783
259.8512051223417,233,61395,56451,19145,44872
175.17005012130787,948,925,42108,46153,29094
109.86356427038112,159,1291,72158,49635,8073
195.82362785895958,572,43194,56829,51284,16540
91.76865537047793,885,63590,35712,20087,38055
71.59186907682509,324,80343,36235,51213,58013
146.4947483372269,93,54899,7860,32583,5761
64.92453289915326,248,39653,78260,6784,51281
145.16271213372033,670,94405,51092,42895,17051
286.98629098852524,141,6913,73466,14105,40622
251.95123228165536,911,26450,78236,52272,11039
282.4951127580567,404,87661,34933,49577,61015
241.9180595567228,930,29092,39399,61381,37989
106.48980569028838,732,82553,52265,34150,16119
243.63236704161255,404,88530,38469,31985,16077
276.8824314916089,818,34075,67392,39745,50264
284.11603277233263,601,25092,64856,34868,23896
204.9910354204306,667,43836,24921,15112,32543
63.488856480152435,414,1337,51896,8260,64410
12.014773094070785,440,5043,49041,39463,53557
44.24534842523071,233,54017,47186,55991,63071
289.66752067639425,980,92155,71079,23172,45495
138.68283757541153,193,92392,32598,60471,44190
256.51030584813407,99,21320,4700,38766,53361
139.56674165213147,951,47898,57328,37319,24087
198.27919327960583,113,28794,44885,52478,7330
7.339819058987859,619,28350,16275,46084,13597
75.03449632153809,536,79578,45410,43588,18272
130.9371570847725,281,33327,66378,34867,42038
189.22625104153352,949,78405,53393,21456,54847
51.53920429714823,716,82139,64058,17736,27680
229.38898413471995,523,54020,57623,15457,17965
109.38497137025756,350,10547,51982,28832,14042
245.24883724324192,316,74145,20931,37269,59360
29.48093020948068,717,22965,33607,40916,14112
203.95900064594332,943,55550,69780,18410,21699
88.0691671286324,921,16234,78144,63246,17148
238.6354139193731,500,52478,61374,26176,17855
120.71091107001891,537,16301,20891,25926,35613
199.63835471584358,913,19036,13525,33686,4843
280.2981500640784,652,78894,6721,56562,31310
6.28592694092793,635,61852,60634,59895,12188
3.433923022078652,436,65409,31814,15726,33725
231.10674772779635,523,21862,53837,36613,17499
193.95327614727262,778,3328,6011,65235,50783
87.96461817927934,593,59505,55940,43449,43235
148.36957116200128,444,69046,63934,45209,50461
12.676506113100734,822,508,5205,27881,20329
57.81443704783611,621,47597,65818,46731,12522
127.40646272069752,208,51519,60901,19788,33893
250.22992042482252,831,58187,9271,9710,37627
143.9521881397394,756,5873,44616,59506,58345
175.950115107341,276,53086,2761,3440,5259
262.13876221893474,497,59275,12581,59724,46914
92.71479218529468,773,74815,10530,26753,60046
210.23972639850655,297,5717,40758,33695,13039
258.5140108776082,374,68337,12241,53425,15625
60.8644486387834,575,4007,59999,3166,8533
107.00780172783494,184,13941,67708,20796,40508
293.9450711494176,32,90966,3829,65418,17942
294.9672475823837,283,49927,71240,59492,56842
67.04665609515196,836,54179,76755,55491,41999
20.02710708389917,873,79043,66758,26401,42544
81.34939123188485,432,61567,7367,44026,36717
119.3798139953758,519,48191,56946,1231,27983
132.35757971925597,686,54601,209,11870,1933
185.68001156839404,462,61955,57165,42456,10629
269.8608777634508,871,97835,67715,51814,15529
99.17136877095801,984,91922,19512,22535,38800
255.0103621962126,368,19959,2967,25735,1142
28.134328385895408,658,72452,19447,65121,29662
12.658222222067092,252,49793,26175,49038,4137
151.263150418726,166,16648,71912,38148,45044
17.992700776848405,615,92467,60779,26770,39945
117.8076913901456,705,83004,47327,58825,15789
269.0437572490834,529,84681,14399,7048,18899
72.52076255862124,602,33485,60765,31416,19504
211.82213495995845,371,77741,34778,41397,8968
90.77938117778105,598,24744,30842,35228,36046
13.571524567116466,103,5739,7952,45555,49830
167.05150536495177,594,95966,79619,23783,26113
250.47256181197181,126,77252,35208,27748,49731
122.89958765795154,38,20680,3967,62610,33587
185.22641855478028,348,98404,79792,46796,56279
270.017076937552,213,27074,12670,42490,2257
236.9293843698226,319,45473,77408,11821,22666
58.24353217790651,998,96186,73940,56423,29732
220.04184941356522,737,47712,24741,60751,31961
150.61771824552957,734,24861,70784,26045,59847
223.8154456850368,426,10801,26096,36573,39423
148.4052136016132,247,20922,22436,34235,53525
38.474653416080024,648,15070,11321,50293,48307
171.0158430621028,286,86828,21576,43524,59908
147.6909843199622,231,35947,43848,63392,1153
155.42472791906837,320,23203,25307,44754,37508
263.6828458483965,512,57579,58035,34358,56930
268.4616303072048,521,94493,53180,21010,53919
136.11577831903892,225,82947,74446,19344,19179
136.7740391798985,506,60887,26695,37975,65170
154.60456896589753,825,87079,24239,41718,21862
155.92482457244364,107,17044,1018,43636,24178
285.12110453931587,699,99593,5850,54747,45059
194.85520016651026,733,15074,24279,39593,31318
83.30935276689438,607,47084,58574,47588,64045
159.50788540650157,707,46993,29767,17045,57426
188.20435251410404,754,26414,73056,54566,6297
191.96753913208795,742,29952,63288,22223,9721
175.61774244883097,331,5053,4869,6524,6652
53.40307277099905,5,89918,56834,30690,38705
10.174597404944292,863,76873,69886,6426,46873
101.41913140481962,468,28548,46985,24395,26438
128.31389415262004,516,31871,48479,38573,45855
18.635091448868373,776,51650,76657,36478,5742
244.50870467215182,938,55478,4048,16539,20084
103.28882350933108,765,54995,41800,18611,1120
274.09846057893355,163,58837,5230,38848,19371
46.40759134189532,653,68224,78338,63398,39193
17.174793585500296,901,60910,30563,44921,31420
144.7465997054579,808,80451,17929,8081,57943
